"Sample_title","Sample_geo_accession","Sample_source_name_ch1","GSM","bw_file","histone_mark","metastasis_site","sample_id","promoter_signal","gene_body_signal","downstream_signal"
"WCM0_2, H3K27ac, ChIP-seq","GSM8791988","LN","GSM8791988","./GSM8791988_WCM0_2_H3K27ac.bw","H3K27ac","Lymph Node","WCM0_2",0.613372782095868,0.521582034583819,0.229268647126249
"WCM0_2, H3K27me3, ChIP-seq","GSM8791989","LN","GSM8791989","./GSM8791989_WCM0_2_H3K27me3.bw","H3K27me3","Lymph Node","WCM0_2",0.626780353142665,0.494227755129537,0.160244870644349
"WCM0_3, H3K27ac, ChIP-seq","GSM8791990","LN","GSM8791990","./GSM8791990_WCM0_3_H3K27ac.bw","H3K27ac","Lymph Node","WCM0_3",1.95554618702994,1.81647488041642,0.694618985207394
"WCM0_3, H3K27me3, ChIP-seq","GSM8791991","LN","GSM8791991","./GSM8791991_WCM0_3_H3K27me3.bw","H3K27me3","Lymph Node","WCM0_3",0.263332307195434,0.220673901448538,0.165800612799975
"WCM0_4, H3K27ac, ChIP-seq","GSM8791992","Pelvic mass","GSM8791992","./GSM8791992_WCM0_4_H3K27ac.bw","H3K27ac","Pelvic","WCM0_4",1.91688231649125,1.79072873618492,0.325188501551747
"WCM0_4, H3K27me3, ChIP-seq","GSM8791993","Pelvic mass","GSM8791993","./GSM8791993_WCM0_4_H3K27me3.bw","H3K27me3","Pelvic","WCM0_4",0.21580438879205,0.189780142131469,0.0727073667865051
"WCM12_Z13, H3K27ac, ChIP-seq","GSM8791994","Brain","GSM8791994","./GSM8791994_WCM12_Z13_H3K27ac.bw","H3K27ac","Brain","WCM12_Z13",6.91099549500839,6.18733471146928,1.82657361878912
"WCM12_Z13, H3K27me3, ChIP-seq","GSM8791995","Brain","GSM8791995","./GSM8791995_WCM12_Z13_H3K27me3.bw","H3K27me3","Brain","WCM12_Z13",0.431731057583409,0.383002898991108,0.123318846265857
"WCM159_1, H3K27ac, ChIP-seq","GSM8791996","Adrenal gland","GSM8791996","./GSM8791996_WCM159_1_H3K27ac.bw","H3K27ac","Adrenal","WCM159_1",0.555609356764464,0.473975732673162,0.168793515579121
"WCM159_1, H3K27me3, ChIP-seq","GSM8791997","Adrenal gland","GSM8791997","./GSM8791997_WCM159_1_H3K27me3.bw","H3K27me3","Adrenal","WCM159_1",0.468798970847618,0.378459047005829,0.207816317089294
"WCM159_2, H3K27ac, ChIP-seq","GSM8791998","Lung","GSM8791998","./GSM8791998_WCM159_2_H3K27ac.bw","H3K27ac","Lung","WCM159_2",0.501246842311569,0.425874334046966,0.177254316481677
"WCM159_2, H3K27me3, ChIP-seq","GSM8791999","Lung","GSM8791999","./GSM8791999_WCM159_2_H3K27me3.bw","H3K27me3","Lung","WCM159_2",0.363828482162772,0.301667038275271,0.204609128120153
"WCM159_Z6, H3K27ac, ChIP-seq","GSM8792000","LN","GSM8792000","./GSM8792000_WCM159_Z6_H3K27ac.bw","H3K27ac","Lymph Node","WCM159_Z6",0.433860183546418,0.39205696630752,0.143419316715815
"WCM159_Z6, H3K27me3, ChIP-seq","GSM8792001","LN","GSM8792001","./GSM8792001_WCM159_Z6_H3K27me3.bw","H3K27me3","Lymph Node","WCM159_Z6",0.379233901783571,0.31102585858403,0.163373912806096
"WCM677_1, H3K27ac, ChIP-seq","GSM8792002","Bone","GSM8792002","./GSM8792002_WCM677_1_H3K27ac.bw","H3K27ac","Bone","WCM677_1",1.4601639226048,1.38423158608529,0.506379070726258
"WCM677_1, H3K27me3, ChIP-seq","GSM8792003","Bone","GSM8792003","./GSM8792003_WCM677_1_H3K27me3.bw","H3K27me3","Bone","WCM677_1",0.311364341893646,0.260621265941103,0.166428124532104
"WCM677_3, H3K27ac, ChIP-seq","GSM8792004","Liver","GSM8792004","./GSM8792004_WCM677_3_H3K27ac.bw","H3K27ac","Liver","WCM677_3",1.02476657402885,0.937397311613571,0.35637255402845
"WCM677_3, H3K27me3, ChIP-seq","GSM8792005","Liver","GSM8792005","./GSM8792005_WCM677_3_H3K27me3.bw","H3K27me3","Liver","WCM677_3",0.177080802669128,0.159637907040971,0.0754604558037086
"WCM90_Z21, H3K27ac, ChIP-seq","GSM8792006","Liver","GSM8792006","./GSM8792006_WCM90_Z21_H3K27ac.bw","H3K27ac","Liver","WCM90_Z21",1.93336552872318,1.7912558904562,0.443586672536838
"WCM90_Z21, H3K27me3, ChIP-seq","GSM8792007","Liver","GSM8792007","./GSM8792007_WCM90_Z21_H3K27me3.bw","H3K27me3","Liver","WCM90_Z21",0.265024761595423,0.224635715330286,0.121290911327709
